Index,Text,Label
100,Love is the best feeling.,2
101,This is terrifying!,4
102,This is completely unexpected!,5
103,I can't stop shaking from fear.,4
104,What a shock!,5
105,What a pleasant surprise!,5
106,I am so happy right now!,1
107,Fear is taking over me.,4
108,My heart skips a beat every time I see you.,2
109,Love is all we need.,2
110,Everything is just perfect.,1
111,I'm feeling low.,0
112,I never expected this outcome!,5
113,Feeling on top of the world!,1
114,Surprised in the best way possible!,5
115,I can't imagine life without you.,2
116,I love you more than words can say.,2
117,This has blown my mind!,5
118,Can't stop smiling today!,1
119,Why does fear control me like this?,4
120,Everything feels grey today.,0
121,How can people be so inconsiderate?,3
122,The fear is overwhelming.,4
123,This has blown my mind!,5
124,Happiness is all around!,1
125,Everything is just perfect.,1
126,I'm about to explode with anger.,3
127,Love makes everything better.,2
128,I can't imagine life without you.,2
129,Life just feels so unfair right now.,0
130,This is terrifying!,4
131,"I can't breathe, I'm so scared.",4
132,Love is the best feeling.,2
133,Life just feels so unfair right now.,0
134,Love is all we need.,2
135,I can't stop crying.,0
136,I'm so grateful for everything!,1
137,Feeling so down today.,0
138,Why does everything feel so hopeless?,0
139,I can't take this anymore!,3
140,I feel blessed!,1
141,The fear is overwhelming.,4
142,My heart is so full of love.,2
143,Feeling so down today.,0
144,This is completely unexpected!,5
145,I'm so grateful for everything!,1
146,Things never go my way.,0
147,"I don't know what to do, I'm so afraid.",4
148,Missing those happy times.,0
149,I'm feeling low.,0
150,Falling in love all over again.,2
151,Totally caught off guard by this!,5
152,You complete me.,2
153,People are just the worst sometimes!,3
154,"Wow, I didn't see that coming!",5
155,What a shock!,5
156,"Wow, I didn't see that coming!",5
157,This is absolutely unacceptable!,3
158,I am so happy right now!,1
159,So angry I could scream!,3
160,You mean the world to me.,2
161,I can't believe this just happened!,5
162,Everything feels grey today.,0
163,Today is an amazing day!,1
164,You mean the world to me.,2
165,Feeling on top of the world!,1
166,Feeling on top of the world!,1
167,Missing those happy times.,0
168,I'm feeling low.,0
169,I can't believe this is happening!,3
170,I feel blessed!,1
171,What a wonderful day!,1
172,I'm frozen in fear.,4
173,I love you more than words can say.,2
174,Surprised in the best way possible!,5
175,All I feel is emptiness.,0
176,Can't stop smiling today!,1
177,Today is an amazing day!,1
178,Why does fear control me like this?,4
179,I'm so scared right now.,4
180,Totally caught off guard by this!,5
181,Love makes everything better.,2
182,This is my worst nightmare.,4
183,This is terrifying!,4
184,This has blown my mind!,5
185,I never expected this outcome!,5
186,I can't take this anymore!,3
187,Why does fear control me like this?,4
188,I'm speechless from this surprise!,5
189,What a pleasant surprise!,5
190,"I don't know what to do, I'm so afraid.",4
191,My heart skips a beat every time I see you.,2
192,Everything is just perfect.,1
193,I am so happy right now!,1
194,How can people be so inconsiderate?,3
195,This is beyond frustrating.,3
196,Life is beautiful!,1
197,I can't believe this is happening!,3
198,I'm frozen in fear.,4
199,Things never go my way.,0
200,This is infuriating!,3
201,Fear is taking over me.,4
202,I can't stop shaking from fear.,4
203,My heart is so full of love.,2
204,You complete me.,2
205,This is beyond frustrating.,3
206,This is infuriating!,3
207,I wish I could escape this sadness.,0
208,My heart skips a beat every time I see you.,2
209,What a pleasant surprise!,5
210,"I can't breathe, I'm so scared.",4
211,I'm about to explode with anger.,3
212,Happiness is all around!,1
213,Life is beautiful!,1
214,Why does everything feel so hopeless?,0
215,I'm so frustrated right now!,3
216,I never expected this outcome!,5
217,This is absolutely unacceptable!,3
218,Fear is taking over me.,4
219,This is completely unexpected!,5
220,Love is the best feeling.,2
221,People are just the worst sometimes!,3
222,Can't stop smiling today!,1
223,All I feel is emptiness.,0
224,I'm so frustrated right now!,3
225,What a shock!,5
226,So angry I could scream!,3
227,I wish I could escape this sadness.,0
228,I'm so scared right now.,4
229,What a wonderful day!,1
230,This is my worst nightmare.,4
231,Surprised in the best way possible!,5
232,I love you more than words can say.,2
233,I'm speechless from this surprise!,5
234,I can't stop crying.,0
235,I can't imagine life without you.,2
236,Falling in love all over again.,2
237,Love is all we need.,2
238,I can't stop shaking from fear.,4
239,I can't believe this just happened!,5
240,Love is the best feeling.,2
241,I'm so scared right now.,4
242,"I don't know what to do, I'm so afraid.",4
243,I feel blessed!,1
244,"I don't know what to do, I'm so afraid.",4
245,I can't take this anymore!,3
246,Totally caught off guard by this!,5
247,I'm so grateful for everything!,1
248,Life just feels so unfair right now.,0
249,I'm about to explode with anger.,3
250,So angry I could scream!,3
251,This has blown my mind!,5
252,Falling in love all over again.,2
253,Love is the best feeling.,2
254,Life is beautiful!,1
255,Why does everything feel so hopeless?,0
256,Falling in love all over again.,2
257,You mean the world to me.,2
258,You mean the world to me.,2
259,Surprised in the best way possible!,5
260,Life just feels so unfair right now.,0
261,"Wow, I didn't see that coming!",5
262,Love is all we need.,2
263,You complete me.,2
264,This is absolutely unacceptable!,3
265,I'm about to explode with anger.,3
266,Today is an amazing day!,1
267,I'm about to explode with anger.,3
268,Today is an amazing day!,1
269,I can't believe this is happening!,3
270,Today is an amazing day!,1
271,This is beyond frustrating.,3
272,"I can't breathe, I'm so scared.",4
273,I'm frozen in fear.,4
274,I wish I could escape this sadness.,0
275,I'm feeling low.,0
276,My heart is so full of love.,2
277,What a pleasant surprise!,5
278,What a pleasant surprise!,5
279,"I can't breathe, I'm so scared.",4
280,I'm so frustrated right now!,3
281,I can't stop crying.,0
282,How can people be so inconsiderate?,3
283,My heart skips a beat every time I see you.,2
284,Feeling on top of the world!,1
285,I am so happy right now!,1
286,How can people be so inconsiderate?,3
287,Love is the best feeling.,2
288,I can't imagine life without you.,2
289,Surprised in the best way possible!,5
290,I can't believe this just happened!,5
291,"Wow, I didn't see that coming!",5
292,I can't imagine life without you.,2
293,Can't stop smiling today!,1
294,Today is an amazing day!,1
295,Love is all we need.,2
296,What a shock!,5
297,This is my worst nightmare.,4
298,Everything is just perfect.,1
299,Love makes everything better.,2
300,I love you more than words can say.,2
301,The fear is overwhelming.,4
302,I'm so scared right now.,4
303,I can't stop crying.,0
304,People are just the worst sometimes!,3
305,Why does fear control me like this?,4
306,Everything feels grey today.,0
307,I am so happy right now!,1
308,This is beyond frustrating.,3
309,I can't imagine life without you.,2
310,Totally caught off guard by this!,5
311,This is my worst nightmare.,4
312,Everything feels grey today.,0
313,I'm frozen in fear.,4
314,This is completely unexpected!,5
315,Why does everything feel so hopeless?,0
316,People are just the worst sometimes!,3
317,My heart is so full of love.,2
318,Everything feels grey today.,0
319,Why does fear control me like this?,4
320,What a pleasant surprise!,5
321,"Wow, I didn't see that coming!",5
322,I can't stop shaking from fear.,4
323,I love you more than words can say.,2
324,I'm so grateful for everything!,1
325,My heart is so full of love.,2
326,Life is beautiful!,1
327,Missing those happy times.,0
328,Falling in love all over again.,2
329,Love is all we need.,2
330,Happiness is all around!,1
331,Why does fear control me like this?,4
332,The fear is overwhelming.,4
333,Love is all we need.,2
334,I'm so frustrated right now!,3
335,I can't believe this just happened!,5
336,Totally caught off guard by this!,5
337,So angry I could scream!,3
338,I'm speechless from this surprise!,5
339,So angry I could scream!,3
340,This is terrifying!,4
341,This is absolutely unacceptable!,3
342,I feel blessed!,1
343,Love makes everything better.,2
344,People are just the worst sometimes!,3
345,Feeling so down today.,0
346,I can't believe this is happening!,3
347,All I feel is emptiness.,0
348,I can't stop shaking from fear.,4
349,You mean the world to me.,2
350,This is completely unexpected!,5
351,Life is beautiful!,1
352,I can't believe this is happening!,3
353,I'm so grateful for everything!,1
354,I am so happy right now!,1
355,I never expected this outcome!,5
356,Everything is just perfect.,1
357,What a shock!,5
358,The fear is overwhelming.,4
359,Life just feels so unfair right now.,0
360,What a wonderful day!,1
361,"I can't breathe, I'm so scared.",4
362,What a wonderful day!,1
363,The fear is overwhelming.,4
364,"Wow, I didn't see that coming!",5
365,I'm feeling low.,0
366,Happiness is all around!,1
367,Everything is just perfect.,1
368,Totally caught off guard by this!,5
369,Surprised in the best way possible!,5
370,All I feel is emptiness.,0
371,I'm so scared right now.,4
372,I wish I could escape this sadness.,0
373,Love makes everything better.,2
374,This is infuriating!,3
375,You complete me.,2
376,I can't stop shaking from fear.,4
377,Can't stop smiling today!,1
378,I can't stop shaking from fear.,4
379,Fear is taking over me.,4
380,I feel blessed!,1
381,I feel blessed!,1
382,I wish I could escape this sadness.,0
383,All I feel is emptiness.,0
384,This is my worst nightmare.,4
385,This is terrifying!,4
386,I'm feeling low.,0
387,Why does everything feel so hopeless?,0
388,How can people be so inconsiderate?,3
389,I love you more than words can say.,2
390,I wish I could escape this sadness.,0
391,Things never go my way.,0
392,Fear is taking over me.,4
393,This is beyond frustrating.,3
394,This is completely unexpected!,5
395,You complete me.,2
396,This has blown my mind!,5
397,I can't stop crying.,0
398,I'm so grateful for everything!,1
399,Happiness is all around!,1
400,How can people be so inconsiderate?,3
401,Everything is just perfect.,1
402,I'm so frustrated right now!,3
403,I can't take this anymore!,3
404,So angry I could scream!,3
405,Love is the best feeling.,2
406,People are just the worst sometimes!,3
407,What a shock!,5
408,I'm about to explode with anger.,3
409,What a wonderful day!,1
410,Why does fear control me like this?,4
411,Feeling so down today.,0
412,Life is beautiful!,1
413,I never expected this outcome!,5
414,Surprised in the best way possible!,5
415,Things never go my way.,0
416,I'm speechless from this surprise!,5
417,Can't stop smiling today!,1
418,I'm so frustrated right now!,3
419,This has blown my mind!,5
420,I'm so scared right now.,4
421,This is infuriating!,3
422,My heart is so full of love.,2
423,Fear is taking over me.,4
424,I'm speechless from this surprise!,5
425,I love you more than words can say.,2
426,This is terrifying!,4
427,Why does everything feel so hopeless?,0
428,My heart skips a beat every time I see you.,2
429,I never expected this outcome!,5
430,I can't believe this just happened!,5
431,Falling in love all over again.,2
432,You mean the world to me.,2
433,This is my worst nightmare.,4
434,What a shock!,5
435,Feeling so down today.,0
436,I'm feeling low.,0
437,My heart skips a beat every time I see you.,2
438,What a wonderful day!,1
439,Everything feels grey today.,0
440,Feeling on top of the world!,1
441,I can't stop crying.,0
442,My heart skips a beat every time I see you.,2
443,Things never go my way.,0
444,This is absolutely unacceptable!,3
445,This is infuriating!,3
446,Love makes everything better.,2
447,I am so happy right now!,1
448,I never expected this outcome!,5
449,This is terrifying!,4
450,I can't take this anymore!,3
451,I'm frozen in fear.,4
452,This has blown my mind!,5
453,This is infuriating!,3
454,Happiness is all around!,1
455,I'm speechless from this surprise!,5
456,Missing those happy times.,0
457,What a pleasant surprise!,5
458,This is absolutely unacceptable!,3
459,Things never go my way.,0
460,"I don't know what to do, I'm so afraid.",4
461,This is completely unexpected!,5
462,I'm frozen in fear.,4
463,I can't take this anymore!,3
464,"I can't breathe, I'm so scared.",4
465,Feeling on top of the world!,1
466,You complete me.,2
467,Feeling so down today.,0
468,I can't believe this just happened!,5
469,Feeling on top of the world!,1
470,"I don't know what to do, I'm so afraid.",4
471,Missing those happy times.,0
472,Life just feels so unfair right now.,0
473,Missing those happy times.,0
474,Can't stop smiling today!,1
475,This is beyond frustrating.,3
476,All I feel is emptiness.,0
477,I can't imagine life without you.,2
478,Fear is taking over me.,4
479,I can't believe this is happening!,3
480,I feel blessed!,1
481,Surprised in the best way possible!,5
482,I can't stop crying.,0
483,I'm frozen in fear.,4
484,I can't take this anymore!,3
485,Life just feels so unfair right now.,0
486,I can't believe this is happening!,3
487,Love is all we need.,2
488,Totally caught off guard by this!,5
489,My heart is so full of love.,2
490,I'm so scared right now.,4
491,Falling in love all over again.,2
492,This is beyond frustrating.,3
493,What a shock!,5
494,Falling in love all over again.,2
495,Totally caught off guard by this!,5
496,This is beyond frustrating.,3
497,I love you more than words can say.,2
498,I'm so frustrated right now!,3
499,Can't stop smiling today!,1
500,The fear is overwhelming.,4
501,Why does fear control me like this?,4
502,This has blown my mind!,5
503,I can't stop crying.,0
504,This is completely unexpected!,5
505,Love is all we need.,2
506,Why does everything feel so hopeless?,0
507,How can people be so inconsiderate?,3
508,Everything is just perfect.,1
509,Happiness is all around!,1
510,Why does fear control me like this?,4
511,Surprised in the best way possible!,5
512,I can't take this anymore!,3
513,Can't stop smiling today!,1
514,Things never go my way.,0
515,Love is the best feeling.,2
516,I'm feeling low.,0
517,This is my worst nightmare.,4
518,You mean the world to me.,2
519,I love you more than words can say.,2
520,What a wonderful day!,1
521,Why does everything feel so hopeless?,0
522,I'm feeling low.,0
523,Today is an amazing day!,1
524,I'm frozen in fear.,4
525,Surprised in the best way possible!,5
526,I can't imagine life without you.,2
527,Why does fear control me like this?,4
528,My heart is so full of love.,2
529,Surprised in the best way possible!,5
530,"I don't know what to do, I'm so afraid.",4
531,Everything feels grey today.,0
532,I never expected this outcome!,5
533,I am so happy right now!,1
534,Today is an amazing day!,1
535,What a pleasant surprise!,5
536,Totally caught off guard by this!,5
537,Everything feels grey today.,0
538,Missing those happy times.,0
539,I never expected this outcome!,5
540,This is infuriating!,3
541,Today is an amazing day!,1
542,I wish I could escape this sadness.,0
543,This has blown my mind!,5
544,Love makes everything better.,2
545,I wish I could escape this sadness.,0
546,I can't believe this just happened!,5
547,You mean the world to me.,2
548,How can people be so inconsiderate?,3
549,Life just feels so unfair right now.,0
550,I am so happy right now!,1
551,I'm about to explode with anger.,3
552,I'm so frustrated right now!,3
553,What a pleasant surprise!,5
554,I'm about to explode with anger.,3
555,You complete me.,2
556,Falling in love all over again.,2
557,This is beyond frustrating.,3
558,Why does fear control me like this?,4
559,How can people be so inconsiderate?,3
560,This is infuriating!,3
561,This is absolutely unacceptable!,3
562,All I feel is emptiness.,0
563,Feeling on top of the world!,1
564,Today is an amazing day!,1
565,So angry I could scream!,3
566,Things never go my way.,0
567,Everything is just perfect.,1
568,You complete me.,2
569,I'm frozen in fear.,4
570,Life just feels so unfair right now.,0
571,I can't believe this is happening!,3
572,Falling in love all over again.,2
573,What a wonderful day!,1
574,I wish I could escape this sadness.,0
575,I'm feeling low.,0
576,Love is the best feeling.,2
577,I can't imagine life without you.,2
578,Feeling on top of the world!,1
579,I'm so scared right now.,4
580,I can't believe this is happening!,3
581,Fear is taking over me.,4
582,How can people be so inconsiderate?,3
583,I can't stop shaking from fear.,4
584,I can't believe this is happening!,3
585,How can people be so inconsiderate?,3
586,I never expected this outcome!,5
587,Feeling so down today.,0
588,"I can't breathe, I'm so scared.",4
589,Love is all we need.,2
590,I can't stop shaking from fear.,4
591,Love makes everything better.,2
592,Fear is taking over me.,4
593,"Wow, I didn't see that coming!",5
594,I can't stop crying.,0
595,I am so happy right now!,1
596,What a shock!,5
597,Falling in love all over again.,2
598,Love is all we need.,2
599,Why does fear control me like this?,4
600,I can't believe this just happened!,5
601,"I can't breathe, I'm so scared.",4
602,I am so happy right now!,1
603,This is absolutely unacceptable!,3
604,I can't stop crying.,0
605,This is completely unexpected!,5
606,I feel blessed!,1
607,I feel blessed!,1
608,The fear is overwhelming.,4
609,My heart skips a beat every time I see you.,2
610,I can't take this anymore!,3
611,Missing those happy times.,0
612,I'm frozen in fear.,4
613,I'm frozen in fear.,4
614,I'm so grateful for everything!,1
615,I am so happy right now!,1
616,People are just the worst sometimes!,3
617,What a pleasant surprise!,5
618,Can't stop smiling today!,1
619,This is beyond frustrating.,3
620,I can't believe this just happened!,5
621,All I feel is emptiness.,0
622,My heart is so full of love.,2
623,So angry I could scream!,3
624,Missing those happy times.,0
625,How can people be so inconsiderate?,3
626,All I feel is emptiness.,0
627,This is completely unexpected!,5
628,Feeling so down today.,0
629,I'm so frustrated right now!,3
630,Totally caught off guard by this!,5
631,This is beyond frustrating.,3
632,I can't stop shaking from fear.,4
633,I can't imagine life without you.,2
634,Happiness is all around!,1
635,Why does everything feel so hopeless?,0
636,The fear is overwhelming.,4
637,Today is an amazing day!,1
638,The fear is overwhelming.,4
639,I'm so grateful for everything!,1
640,"Wow, I didn't see that coming!",5
641,This is absolutely unacceptable!,3
642,Life is beautiful!,1
643,People are just the worst sometimes!,3
644,Missing those happy times.,0
645,This is absolutely unacceptable!,3
646,I'm about to explode with anger.,3
647,Feeling so down today.,0
648,Life just feels so unfair right now.,0
649,I am so happy right now!,1
650,So angry I could scream!,3
651,I'm speechless from this surprise!,5
652,Why does everything feel so hopeless?,0
653,"I can't breathe, I'm so scared.",4
654,Life is beautiful!,1
655,I can't believe this is happening!,3
656,So angry I could scream!,3
657,I can't take this anymore!,3
658,I'm feeling low.,0
659,Feeling so down today.,0
660,Everything feels grey today.,0
661,Today is an amazing day!,1
662,I'm feeling low.,0
663,This is my worst nightmare.,4
664,Why does everything feel so hopeless?,0
665,I wish I could escape this sadness.,0
666,Things never go my way.,0
667,Feeling on top of the world!,1
668,Totally caught off guard by this!,5
669,Why does everything feel so hopeless?,0
670,This is beyond frustrating.,3
671,I'm so grateful for everything!,1
672,Life is beautiful!,1
673,Can't stop smiling today!,1
674,All I feel is emptiness.,0
675,Life is beautiful!,1
676,People are just the worst sometimes!,3
677,This is absolutely unacceptable!,3
678,"Wow, I didn't see that coming!",5
679,"Wow, I didn't see that coming!",5
680,Everything feels grey today.,0
681,I feel blessed!,1
682,I'm so grateful for everything!,1
683,I'm so frustrated right now!,3
684,"Wow, I didn't see that coming!",5
685,All I feel is emptiness.,0
686,This is terrifying!,4
687,I love you more than words can say.,2
688,Life just feels so unfair right now.,0
689,I'm so frustrated right now!,3
690,I can't imagine life without you.,2
691,I can't stop crying.,0
692,You mean the world to me.,2
693,Feeling so down today.,0
694,"Wow, I didn't see that coming!",5
695,This is infuriating!,3
696,You complete me.,2
697,You mean the world to me.,2
698,This is absolutely unacceptable!,3
699,"I can't breathe, I'm so scared.",4
700,My heart is so full of love.,2
701,The fear is overwhelming.,4
702,Love is all we need.,2
703,Everything feels grey today.,0
704,Love makes everything better.,2
705,What a shock!,5
706,"I don't know what to do, I'm so afraid.",4
707,You complete me.,2
708,So angry I could scream!,3
709,I'm about to explode with anger.,3
710,"I can't breathe, I'm so scared.",4
711,I'm so grateful for everything!,1
712,Everything is just perfect.,1
713,Happiness is all around!,1
714,Love makes everything better.,2
715,I never expected this outcome!,5
716,Today is an amazing day!,1
717,The fear is overwhelming.,4
718,I'm about to explode with anger.,3
719,This is completely unexpected!,5
720,I can't stop shaking from fear.,4
721,Feeling so down today.,0
722,Fear is taking over me.,4
723,Things never go my way.,0
724,What a pleasant surprise!,5
725,This is infuriating!,3
726,I wish I could escape this sadness.,0
727,Surprised in the best way possible!,5
728,This is absolutely unacceptable!,3
729,This is my worst nightmare.,4
730,Can't stop smiling today!,1
731,I never expected this outcome!,5
732,Surprised in the best way possible!,5
733,This is infuriating!,3
734,This is beyond frustrating.,3
735,This is completely unexpected!,5
736,I can't believe this is happening!,3
737,Life is beautiful!,1
738,Happiness is all around!,1
739,This is completely unexpected!,5
740,"Wow, I didn't see that coming!",5
741,I never expected this outcome!,5
742,I can't imagine life without you.,2
743,Everything feels grey today.,0
744,Can't stop smiling today!,1
745,"I can't breathe, I'm so scared.",4
746,I'm speechless from this surprise!,5
747,The fear is overwhelming.,4
748,Love is the best feeling.,2
749,Life is beautiful!,1
750,Missing those happy times.,0
751,Feeling on top of the world!,1
752,This is beyond frustrating.,3
753,My heart skips a beat every time I see you.,2
754,This is my worst nightmare.,4
755,I love you more than words can say.,2
756,Everything is just perfect.,1
757,I'm so frustrated right now!,3
758,So angry I could scream!,3
759,Everything is just perfect.,1
760,"I don't know what to do, I'm so afraid.",4
761,Happiness is all around!,1
762,My heart skips a beat every time I see you.,2
763,I can't take this anymore!,3
764,You complete me.,2
765,I can't stop shaking from fear.,4
766,I'm speechless from this surprise!,5
767,I can't stop crying.,0
768,I can't believe this just happened!,5
769,This has blown my mind!,5
770,My heart skips a beat every time I see you.,2
771,So angry I could scream!,3
772,I feel blessed!,1
773,Love is the best feeling.,2
774,My heart skips a beat every time I see you.,2
775,What a pleasant surprise!,5
776,Life is beautiful!,1
777,This is terrifying!,4
778,How can people be so inconsiderate?,3
779,This is my worst nightmare.,4
780,Totally caught off guard by this!,5
781,Everything is just perfect.,1
782,I can't believe this just happened!,5
783,This is terrifying!,4
784,You complete me.,2
785,"Wow, I didn't see that coming!",5
786,Feeling on top of the world!,1
787,People are just the worst sometimes!,3
788,I'm speechless from this surprise!,5
789,I can't imagine life without you.,2
790,I'm about to explode with anger.,3
791,What a shock!,5
792,I never expected this outcome!,5
793,Missing those happy times.,0
794,This has blown my mind!,5
795,My heart skips a beat every time I see you.,2
796,I can't believe this is happening!,3
797,You complete me.,2
798,I'm speechless from this surprise!,5
799,I'm frozen in fear.,4
800,My heart is so full of love.,2
801,I can't imagine life without you.,2
802,Fear is taking over me.,4
803,Things never go my way.,0
804,I'm about to explode with anger.,3
805,You mean the world to me.,2
806,I'm speechless from this surprise!,5
807,What a shock!,5
808,Can't stop smiling today!,1
809,You mean the world to me.,2
810,Why does fear control me like this?,4
811,Love makes everything better.,2
812,I'm feeling low.,0
813,This is my worst nightmare.,4
814,"I don't know what to do, I'm so afraid.",4
815,What a wonderful day!,1
816,This has blown my mind!,5
817,Feeling on top of the world!,1
818,What a wonderful day!,1
819,I'm so scared right now.,4
820,I'm so grateful for everything!,1
821,Love is the best feeling.,2
822,Feeling on top of the world!,1
823,Happiness is all around!,1
824,I'm so grateful for everything!,1
825,"I can't breathe, I'm so scared.",4
826,Feeling on top of the world!,1
827,Everything feels grey today.,0
828,This is terrifying!,4
829,Love is the best feeling.,2
830,People are just the worst sometimes!,3
831,What a shock!,5
832,You mean the world to me.,2
833,This is infuriating!,3
834,Life just feels so unfair right now.,0
835,All I feel is emptiness.,0
836,This is infuriating!,3
837,Things never go my way.,0
838,This is completely unexpected!,5
839,Missing those happy times.,0
840,Surprised in the best way possible!,5
841,Missing those happy times.,0
842,What a wonderful day!,1
843,How can people be so inconsiderate?,3
844,I love you more than words can say.,2
845,Fear is taking over me.,4
846,Fear is taking over me.,4
847,I am so happy right now!,1
848,Happiness is all around!,1
849,I can't believe this just happened!,5
850,This is completely unexpected!,5
851,What a wonderful day!,1
852,"I don't know what to do, I'm so afraid.",4
853,This has blown my mind!,5
854,All I feel is emptiness.,0
855,The fear is overwhelming.,4
856,What a pleasant surprise!,5
857,I can't take this anymore!,3
858,Love makes everything better.,2
859,This is absolutely unacceptable!,3
860,I'm about to explode with anger.,3
861,Fear is taking over me.,4
862,This has blown my mind!,5
863,Why does everything feel so hopeless?,0
864,I can't stop shaking from fear.,4
865,This has blown my mind!,5
866,Life just feels so unfair right now.,0
867,What a pleasant surprise!,5
868,Feeling so down today.,0
869,I am so happy right now!,1
870,"I don't know what to do, I'm so afraid.",4
871,Life just feels so unfair right now.,0
872,I feel blessed!,1
873,I'm speechless from this surprise!,5
874,I'm so scared right now.,4
875,I can't believe this is happening!,3
876,"I don't know what to do, I'm so afraid.",4
877,I can't take this anymore!,3
878,I'm feeling low.,0
879,I'm so scared right now.,4
880,Love is the best feeling.,2
881,Why does fear control me like this?,4
882,I love you more than words can say.,2
883,This is infuriating!,3
884,Feeling so down today.,0
885,Love makes everything better.,2
886,Things never go my way.,0
887,"I can't breathe, I'm so scared.",4
888,I can't believe this just happened!,5
889,I love you more than words can say.,2
890,Today is an amazing day!,1
891,I never expected this outcome!,5
892,My heart skips a beat every time I see you.,2
893,Falling in love all over again.,2
894,I'm so frustrated right now!,3
895,I wish I could escape this sadness.,0
896,I feel blessed!,1
897,I'm so scared right now.,4
898,This is terrifying!,4
899,Can't stop smiling today!,1
900,You mean the world to me.,2
901,Everything is just perfect.,1
902,I can't take this anymore!,3
903,What a wonderful day!,1
904,I'm frozen in fear.,4
905,People are just the worst sometimes!,3
906,Happiness is all around!,1
907,This is terrifying!,4
908,My heart is so full of love.,2
909,Falling in love all over again.,2
910,What a wonderful day!,1
911,Why does everything feel so hopeless?,0
912,My heart is so full of love.,2
913,This is terrifying!,4
914,I'm so frustrated right now!,3
915,I love you more than words can say.,2
916,I'm so grateful for everything!,1
917,This is my worst nightmare.,4
918,What a pleasant surprise!,5
919,I'm speechless from this surprise!,5
920,My heart is so full of love.,2
921,You complete me.,2
922,Falling in love all over again.,2
923,Life is beautiful!,1
924,I feel blessed!,1
925,Everything is just perfect.,1
926,I can't stop crying.,0
927,People are just the worst sometimes!,3
928,I'm frozen in fear.,4
929,I can't stop shaking from fear.,4
930,Everything feels grey today.,0
931,People are just the worst sometimes!,3
932,I can't stop shaking from fear.,4
933,I'm so scared right now.,4
934,Love is all we need.,2
935,Surprised in the best way possible!,5
936,This is my worst nightmare.,4
937,I can't believe this just happened!,5
938,I wish I could escape this sadness.,0
939,My heart skips a beat every time I see you.,2
940,All I feel is emptiness.,0
941,Fear is taking over me.,4
942,What a shock!,5
943,Love makes everything better.,2
944,Love is the best feeling.,2
945,Why does fear control me like this?,4
946,I'm feeling low.,0
947,Totally caught off guard by this!,5
948,I can't imagine life without you.,2
949,What a shock!,5
950,"I don't know what to do, I'm so afraid.",4
951,So angry I could scream!,3
